작물명,지역,생산량,년도,단위
노지배추,전라남도,718968.0,2017,톤
노지배추,전라남도,802217.0,2018,톤
노지배추,전라남도,572834.681,2019,톤
노지배추,전라남도,725841.0,2020,톤
노지배추,전라남도,617726.6117,2021,톤
노지배추,전라남도,701228.4123,2022,톤
노지배추,전라남도,359598.4607,2023,톤
노지봄무,강원도,91097.0,2014,톤
노지봄무,강원도,78601.0,2015,톤
노지봄무,강원도,100078.0,2016,톤
노지봄무,강원도,113885.0,2017,톤
노지봄무,강원도,103755.0,2018,톤
노지봄무,강원도,91059.0,2019,톤
노지봄무,강원도,104405.0,2020,톤
노지봄무,강원도,135139.0,2021,톤
노지봄무,강원도,118213.0,2022,톤
노지봄배추,강원도,180037.0,2014,톤
노지봄배추,강원도,162181.0,2015,톤
노지봄배추,강원도,149751.0,2016,톤
노지봄배추,강원도,275122.0,2017,톤
노지봄배추,강원도,275768.0,2018,톤
노지봄배추,강원도,253104.0,2019,톤
노지봄배추,강원도,238785.0,2020,톤
노지봄배추,강원도,279131.0,2021,톤
노지봄배추,강원도,239905.0,2022,톤
노지상추,경기도,2833.0,2014,톤
노지상추,경기도,2818.0,2015,톤
노지상추,경기도,3597.0,2016,톤
노지상추,경기도,3571.0,2017,톤
노지상추,경기도,2570.0,2018,톤
노지상추,경기도,3513.0,2019,톤
노지상추,경기도,4987.0,2020,톤
노지상추,경기도,4868.0,2021,톤
노지상추,경기도,4998.0,2022,톤
노지수박,경상북도,36704.0,2013,톤
노지수박,경상북도,32529.0,2014,톤
노지수박,경상북도,35111.0,2015,톤
노지수박,경상북도,29322.0,2016,톤
노지수박,경상북도,38971.0,2017,톤
노지수박,경상북도,33259.0,2018,톤
노지수박,경상북도,30131.0,2019,톤
노지수박,경상북도,24135.0,2020,톤
노지수박,경상북도,24814.0,2021,톤
노지수박,경상북도,28171.0,2022,톤
노지시금치,경상남도,22382.0,2014,톤
노지시금치,경상남도,19804.0,2015,톤
노지시금치,경상남도,17446.0,2016,톤
노지시금치,경상남도,11995.0,2017,톤
노지시금치,경상남도,12282.0,2018,톤
노지시금치,경상남도,14368.0,2019,톤
노지시금치,경상남도,14044.0,2020,톤
노지시금치,경상남도,6650.0,2021,톤
노지시금치,경상남도,12795.0,2022,톤
노지오이,강원도,11476.0,2013,톤
노지오이,강원도,13508.0,2014,톤
노지오이,강원도,10840.0,2015,톤
노지오이,강원도,17040.0,2016,톤
노지오이,강원도,19214.0,2017,톤
노지오이,강원도,14823.0,2018,톤
노지오이,강원도,17096.0,2019,톤
노지오이,강원도,20711.0,2020,톤
노지오이,강원도,18315.0,2021,톤
노지오이,강원도,14831.0,2022,톤
노지쪽파,전라남도,47091.0,2014,톤
노지쪽파,전라남도,66904.0,2015,톤
노지쪽파,전라남도,27966.0,2016,톤
노지쪽파,전라남도,18177.0,2017,톤
노지쪽파,전라남도,45270.0,2018,톤
노지쪽파,전라남도,25619.0,2019,톤
노지쪽파,전라남도,28189.0,2020,톤
노지쪽파,전라남도,34275.0,2021,톤
노지쪽파,전라남도,48941.0,2022,톤
노지참외,충청남도,95.0,2013,톤
노지참외,충청남도,173.0,2014,톤
노지참외,충청남도,62.0,2015,톤
노지참외,충청남도,184.0,2016,톤
노지참외,충청남도,302.0,2017,톤
노지참외,충청남도,514.0,2018,톤
노지참외,충청남도,441.0,2019,톤
노지참외,충청남도,1403.0,2020,톤
노지참외,충청남도,968.0,2021,톤
노지참외,충청남도,915.0,2022,톤
노지파,전라남도,157591.0,2014,톤
노지파,전라남도,163576.0,2015,톤
노지파,전라남도,141151.0,2016,톤
노지파,전라남도,163482.0,2017,톤
노지파,전라남도,161462.0,2018,톤
노지파,전라남도,161613.0,2019,톤
노지파,전라남도,146474.0,2020,톤
노지파,전라남도,191458.0,2021,톤
노지파,전라남도,178797.0,2022,톤
노지호박,전라남도,72759.0,2013,톤
노지호박,전라남도,62173.0,2014,톤
노지호박,전라남도,68675.0,2015,톤
노지호박,전라남도,46568.0,2016,톤
노지호박,전라남도,37523.0,2017,톤
노지호박,전라남도,39251.0,2018,톤
노지호박,전라남도,43572.0,2019,톤
노지호박,전라남도,53135.0,2020,톤
노지호박,전라남도,22278.0,2021,톤
노지호박,전라남도,29623.0,2022,톤
녹두,전라남도,1322.0,2014,톤
녹두,전라남도,993.0,2015,톤
녹두,전라남도,933.0,2016,톤
녹두,전라남도,1373.0,2017,톤
녹두,전라남도,1345.0,2018,톤
녹두,전라남도,1228.0,2019,톤
녹두,전라남도,1031.0,2020,톤
녹두,전라남도,1403.0,2021,톤
녹두,전라남도,3363.0,2022,톤
당근,제주도,57486.0,2014,톤
당근,제주도,62814.0,2015,톤
당근,제주도,29307.0,2016,톤
당근,제주도,33668.0,2017,톤
당근,제주도,30762.0,2018,톤
당근,제주도,25727.0,2019,톤
당근,제주도,33801.0,2020,톤
당근,제주도,47812.0,2021,톤
당근,제주도,33060.0,2022,톤
대파,전라남도,110704.0,2014,톤
대파,전라남도,96957.0,2015,톤
대파,전라남도,113661.0,2016,톤
대파,전라남도,145923.0,2017,톤
대파,전라남도,116329.0,2018,톤
대파,전라남도,136264.0,2019,톤
대파,전라남도,118687.0,2020,톤
대파,전라남도,159436.0,2021,톤
대파,전라남도,131100.0,2022,톤
딸기,경상남도,73605.0,2013,톤
딸기,경상남도,66276.0,2014,톤
딸기,경상남도,67762.0,2015,톤
딸기,경상남도,85110.0,2016,톤
딸기,경상남도,105018.0,2017,톤
딸기,경상남도,82400.0,2018,톤
딸기,경상남도,124754.0,2019,톤
딸기,경상남도,62146.0,2020,톤
딸기,경상남도,68698.0,2021,톤
딸기,경상남도,64886.0,2022,톤
마늘,경상북도,59802.27879,2014,톤
마늘,경상북도,46000.85599,2015,톤
마늘,경상북도,54851.05439,2016,톤
마늘,경상북도,60563.21306,2017,톤
마늘,경상북도,84951.95691,2018,톤
마늘,경상북도,100699.36097,2019,톤
마늘,경상북도,83019.8999,2020,톤
마늘,경상북도,65900.5339,2021,톤
마늘,경상북도,62262.2535,2022,톤
마늘,경상북도,76362.3679,2023,톤
메밀,제주도,500.0,2013,톤
메밀,제주도,473.0,2014,톤
메밀,제주도,822.0,2015,톤
메밀,제주도,263.0,2016,톤
메밀,제주도,321.0,2017,톤
메밀,제주도,1050.0,2018,톤
메밀,제주도,974.0,2019,톤
메밀,제주도,582.0,2020,톤
메밀,제주도,1127.0,2021,톤
메밀,제주도,1264.0,2022,톤
무,제주도,444102.0,2014,톤
무,제주도,382934.0,2015,톤
무,제주도,281458.0,2016,톤
무,제주도,297156.0,2017,톤
무,제주도,397356.0,2018,톤
무,제주도,396883.0,2019,톤
무,제주도,424274.0,2020,톤
무,제주도,404773.6523,2021,톤
무,제주도,413298.0,2022,톤
미곡,전라남도,809201.0,2014,톤
미곡,전라남도,866202.0,2015,톤
미곡,전라남도,846236.0,2016,톤
미곡,전라남도,827162.0,2017,톤
미곡,전라남도,766022.0,2018,톤
미곡,전라남도,725094.0,2019,톤
미곡,전라남도,687812.0,2020,톤
미곡,전라남도,789650.0,2021,톤
미곡,전라남도,742913.0,2022,톤
미곡,전라남도,736985.0,2023,톤
배,전라남도,94913.0,2014,톤
배,전라남도,85980.0,2015,톤
배,전라남도,69119.0,2016,톤
배,전라남도,68601.0,2017,톤
배,전라남도,51530.0,2018,톤
배,전라남도,50582.0,2019,톤
배,전라남도,27788.3768,2020,톤
배,전라남도,68761.84,2021,톤
배,전라남도,88865.7274,2022,톤
배,전라남도,62345.5425,2023,톤
배추,전라남도,826654.0,2014,톤
배추,전라남도,727958.0,2015,톤
배추,전라남도,592044.0,2016,톤
배추,전라남도,731866.0,2017,톤
배추,전라남도,807579.0,2018,톤
배추,전라남도,583810.681,2019,톤
배추,전라남도,740439.0,2020,톤
배추,전라남도,648203.6117,2021,톤
배추,전라남도,718481.4123,2022,톤
배추,전라남도,359598.4607,2023,톤
봄감자,경상북도,77125.0,2014,톤
봄감자,경상북도,76027.0,2015,톤
봄감자,경상북도,80402.0,2016,톤
봄감자,경상북도,55457.0,2017,톤
봄감자,경상북도,77378.0,2018,톤
봄감자,경상북도,78931.0,2019,톤
봄감자,경상북도,65340.0311,2020,톤
봄감자,경상북도,64104.9148,2021,톤
봄감자,경상북도,46509.3041,2022,톤
봄감자,경상북도,60090.9801,2023,톤
사과,경상북도,292340.0,2014,톤
사과,경상북도,372627.0,2015,톤
사과,경상북도,367710.0,2016,톤
사과,경상북도,338034.0,2017,톤
사과,경상북도,315230.0,2018,톤
사과,경상북도,338085.0,2019,톤
사과,경상북도,277942.1145,2020,톤
사과,경상북도,309033.989,2021,톤
사과,경상북도,330531.5409,2022,톤
사과,경상북도,244989.6752,2023,톤
상추,경기도,40416.0,2014,톤
상추,경기도,31263.0,2015,톤
상추,경기도,25153.0,2016,톤
상추,경기도,17740.0,2017,톤
상추,경기도,18245.0,2018,톤
상추,경기도,23336.0,2019,톤
상추,경기도,25535.0,2020,톤
상추,경기도,17424.0,2021,톤
상추,경기도,21692.0,2022,톤
생강,경상북도,17251.0,2014,톤
생강,경상북도,17043.0,2015,톤
생강,경상북도,22897.0,2016,톤
생강,경상북도,15505.0,2017,톤
생강,경상북도,8420.0,2018,톤
생강,경상북도,9422.0,2019,톤
생강,경상북도,13430.0,2020,톤
생강,경상북도,14588.0,2021,톤
생강,경상북도,9005.0,2022,톤
생산량,제주도,33.0,2016,톤
생산량,제주도,24.0,2017,톤
생산량,제주도,21.0,2018,톤
생산량,제주도,4.0,2019,톤
생산량,제주도,3.0733,2020,톤
생산량,제주도,1.0,2021,톤
생산량,제주도,103.0,2016,톤
생산량,제주도,92.0,2017,톤
생산량,제주도,80.0,2018,톤
생산량,제주도,61.0,2019,톤
생산량,제주도,4.2235,2020,톤
생산량,제주도,56.0,2021,톤
생산량,제주도,14.0,2022,톤
생산량,제주도,687324.0,2014,톤
생산량,제주도,639673.0,2015,톤
생산량,제주도,609783.0,2016,톤
생산량,제주도,595660.0,2017,톤
생산량,제주도,619761.0,2018,톤
생산량,제주도,628937.0,2019,톤
생산량,제주도,658038.3093,2020,톤
생산량,제주도,634487.0,2021,톤
생산량,제주도,609260.0,2022,톤
생산량,제주도,391.0,2014,톤
생산량,제주도,528.0,2015,톤
생산량,제주도,475.0,2016,톤
생산량,제주도,753.0,2017,톤
생산량,제주도,660.0,2018,톤
생산량,제주도,373.0,2019,톤
생산량,제주도,315.0687,2020,톤
생산량,제주도,124.0,2021,톤
생산량,제주도,73.0,2022,톤
생산량,제주도,391.0,2014,톤
생산량,제주도,528.0,2015,톤
생산량,제주도,475.0,2016,톤
생산량,제주도,753.0,2017,톤
생산량,제주도,660.0,2018,톤
생산량,제주도,373.0,2019,톤
생산량,제주도,311.8262,2020,톤
생산량,제주도,124.0,2021,톤
생산량,제주도,73.0,2022,톤
생산량,제주도,3.2425,2020,톤
생산량,제주도,8.0,2021,톤
생산량,제주도,712.0,2019,톤
생산량,제주도,760.5823,2020,톤
생산량,제주도,314.0,2021,톤
생산량,제주도,299.0,2022,톤
생산량,제주도,30110.0,2014,톤
생산량,제주도,23289.0,2015,톤
생산량,제주도,28951.0,2016,톤
생산량,제주도,31392.0,2017,톤
생산량,제주도,41486.0,2018,톤
생산량,제주도,33657.0,2019,톤
생산량,제주도,33153.0,2020,톤
생산량,제주도,39219.6327,2021,톤
생산량,제주도,33536.6575,2022,톤
생산량,제주도,1111.0,2014,톤
생산량,제주도,1299.0,2015,톤
생산량,제주도,3065.0,2016,톤
생산량,제주도,2952.0,2017,톤
생산량,제주도,1385.0,2018,톤
생산량,제주도,1598.0,2019,톤
생산량,제주도,1054.0,2020,톤
생산량,제주도,1803.0,2021,톤
생산량,제주도,1347.0,2022,톤
생산량,제주도,28999.0,2014,톤
생산량,제주도,21990.0,2015,톤
생산량,제주도,25886.0,2016,톤
생산량,제주도,28440.0,2017,톤
생산량,제주도,40101.0,2018,톤
생산량,제주도,32059.0,2019,톤
생산량,제주도,32099.0,2020,톤
생산량,제주도,37416.6327,2021,톤
생산량,제주도,32189.6575,2022,톤
생산량,제주도,20545.0,2014,톤
생산량,제주도,11672.0,2015,톤
생산량,제주도,11722.0,2016,톤
생산량,제주도,14622.0,2017,톤
생산량,제주도,24588.0,2018,톤
생산량,제주도,12582.0,2019,톤
생산량,제주도,12917.0,2020,톤
생산량,제주도,13451.0,2021,톤
생산량,제주도,15776.0,2022,톤
수박,충청남도,219740.0,2013,톤
수박,충청남도,234048.0,2014,톤
수박,충청남도,228169.0,2015,톤
수박,충청남도,151058.0,2016,톤
수박,충청남도,89142.0,2017,톤
수박,충청남도,95588.0,2018,톤
수박,충청남도,108158.0,2019,톤
수박,충청남도,137618.0,2020,톤
수박,충청남도,141115.0,2021,톤
수박,충청남도,132088.0,2022,톤
시금치,경기도,27406.0,2014,톤
시금치,경기도,33411.0,2015,톤
시금치,경기도,26652.0,2016,톤
시금치,경기도,24582.0,2017,톤
시금치,경기도,24721.0,2018,톤
시금치,경기도,24196.0,2019,톤
시금치,경기도,23408.0,2020,톤
시금치,경기도,28796.0,2021,톤
시금치,경기도,20450.0,2022,톤
시설대파,경기도,15573.0,2014,톤
시설대파,경기도,10455.0,2015,톤
시설대파,경기도,19169.0,2016,톤
시설대파,경기도,28164.0,2017,톤
시설대파,경기도,23041.0,2018,톤
시설대파,경기도,21582.0,2019,톤
시설대파,경기도,16904.0,2020,톤
시설대파,경기도,19816.0,2021,톤
시설대파,경기도,12131.0,2022,톤
시설딸기,경상남도,73321.0,2013,톤
시설딸기,경상남도,66276.0,2014,톤
시설딸기,경상남도,67762.0,2015,톤
시설딸기,경상남도,84739.0,2016,톤
시설딸기,경상남도,104995.0,2017,톤
시설딸기,경상남도,82217.0,2018,톤
시설딸기,경상남도,124688.0,2019,톤
시설딸기,경상남도,62068.0,2020,톤
시설딸기,경상남도,68527.0,2021,톤
시설딸기,경상남도,64802.0,2022,톤
시설무,전라남도,13883.0,2014,톤
시설무,전라남도,11904.0,2015,톤
시설무,전라남도,10511.0,2016,톤
시설무,전라남도,7207.0,2017,톤
시설무,전라남도,8985.0,2018,톤
시설무,전라남도,9652.0,2019,톤
시설무,전라남도,14352.0,2020,톤
시설무,전라남도,11425.0,2021,톤
시설무,전라남도,7404.0,2022,톤
시설배추,경기도,40766.0,2014,톤
시설배추,경기도,31768.0,2015,톤
시설배추,경기도,28042.0,2016,톤
시설배추,경기도,27263.0,2017,톤
시설배추,경기도,25431.0,2018,톤
시설배추,경기도,25246.0,2019,톤
시설배추,경기도,29689.0,2020,톤
시설배추,경기도,30500.0,2021,톤
시설배추,경기도,45865.0,2022,톤
시설상추,경기도,37583.0,2014,톤
시설상추,경기도,28445.0,2015,톤
시설상추,경기도,21556.0,2016,톤
시설상추,경기도,14169.0,2017,톤
시설상추,경기도,15675.0,2018,톤
시설상추,경기도,19823.0,2019,톤
시설상추,경기도,20548.0,2020,톤
시설상추,경기도,12556.0,2021,톤
시설상추,경기도,16694.0,2022,톤
시설수박,충청남도,218456.0,2013,톤
시설수박,충청남도,233670.0,2014,톤
시설수박,충청남도,226885.0,2015,톤
시설수박,충청남도,149434.0,2016,톤
시설수박,충청남도,88126.0,2017,톤
시설수박,충청남도,95191.0,2018,톤
시설수박,충청남도,107306.0,2019,톤
시설수박,충청남도,136833.0,2020,톤
시설수박,충청남도,138626.0,2021,톤
시설수박,충청남도,130599.0,2022,톤
시설시금치,경기도,26642.0,2014,톤
시설시금치,경기도,31376.0,2015,톤
시설시금치,경기도,24986.0,2016,톤
시설시금치,경기도,23228.0,2017,톤
시설시금치,경기도,23052.0,2018,톤
시설시금치,경기도,21771.0,2019,톤
시설시금치,경기도,22061.0,2020,톤
시설시금치,경기도,26669.0,2021,톤
시설시금치,경기도,18815.0,2022,톤
시설오이,충청남도,58254.0,2013,톤
시설오이,충청남도,54149.0,2014,톤
시설오이,충청남도,64222.0,2015,톤
시설오이,충청남도,71784.0,2016,톤
시설오이,충청남도,53118.0,2017,톤
시설오이,충청남도,107748.0,2018,톤
시설오이,충청남도,82865.0,2019,톤
시설오이,충청남도,78578.0,2020,톤
시설오이,충청남도,63635.0,2021,톤
시설오이,충청남도,63413.0,2022,톤
시설쪽파,충청남도,11318.0,2014,톤
시설쪽파,충청남도,9052.0,2015,톤
시설쪽파,충청남도,5056.0,2016,톤
시설쪽파,충청남도,9990.0,2017,톤
시설쪽파,충청남도,11632.0,2018,톤
시설쪽파,충청남도,15697.0,2019,톤
시설쪽파,충청남도,7791.0,2020,톤
시설쪽파,충청남도,10006.0,2021,톤
시설쪽파,충청남도,9384.0,2022,톤
시설참외,경상북도,159515.0,2013,톤
시설참외,경상북도,139245.0,2014,톤
시설참외,경상북도,140794.0,2015,톤
시설참외,경상북도,139968.0,2016,톤
시설참외,경상북도,155556.0,2017,톤
시설참외,경상북도,117646.0,2018,톤
시설참외,경상북도,136995.0,2019,톤
시설참외,경상북도,135480.0,2020,톤
시설참외,경상북도,187720.0,2021,톤
시설참외,경상북도,188216.0,2022,톤
시설토마토,충청남도,61122.0,2013,톤
시설토마토,충청남도,109378.0,2014,톤
시설토마토,충청남도,92811.0,2015,톤
시설토마토,충청남도,73155.0,2016,톤
시설토마토,충청남도,55567.0,2017,톤
시설토마토,충청남도,44604.0,2018,톤
시설토마토,충청남도,56705.0,2019,톤
시설토마토,충청남도,54610.0,2020,톤
시설토마토,충청남도,76055.0,2021,톤
시설토마토,충청남도,76281.0,2022,톤
시설파,경기도,17579.0,2014,톤
시설파,경기도,11475.0,2015,톤
시설파,경기도,20030.0,2016,톤
시설파,경기도,29860.0,2017,톤
시설파,경기도,23446.0,2018,톤
시설파,경기도,22682.0,2019,톤
시설파,경기도,18335.0,2020,톤
시설파,경기도,20669.0,2021,톤
시설파,경기도,13059.0,2022,톤
시설호박,경상남도,33592.0,2013,톤
시설호박,경상남도,48513.0,2014,톤
시설호박,경상남도,46949.0,2015,톤
시설호박,경상남도,44594.0,2016,톤
시설호박,경상남도,65614.0,2017,톤
시설호박,경상남도,37990.0,2018,톤
시설호박,경상남도,60389.0,2019,톤
시설호박,경상남도,54490.0,2020,톤
시설호박,경상남도,24097.0,2021,톤
시설호박,경상남도,26468.0,2022,톤
양배추,제주도,130799.0,2014,톤
양배추,제주도,133834.0,2015,톤
양배추,제주도,99526.0,2016,톤
양배추,제주도,108768.0,2017,톤
양배추,제주도,148453.0,2018,톤
양배추,제주도,84197.0,2019,톤
양배추,제주도,91917.0,2020,톤
양배추,제주도,125125.0,2021,톤
양배추,제주도,87986.0,2022,톤
양파,전라남도,763335.42333,2014,톤
양파,전라남도,543208.0447,2015,톤
양파,전라남도,569472.40304,2016,톤
양파,전라남도,514895.99257,2017,톤
양파,전라남도,558659.07775,2018,톤
양파,전라남도,581957.72494,2019,톤
양파,전라남도,452737.4079,2020,톤
양파,전라남도,579053.3211,2021,톤
양파,전라남도,468233.8508,2022,톤
양파,전라남도,393809.1113,2023,톤
오이,충청남도,61578.0,2013,톤
오이,충청남도,56533.0,2014,톤
오이,충청남도,67990.0,2015,톤
오이,충청남도,74228.0,2016,톤
오이,충청남도,56586.0,2017,톤
오이,충청남도,112934.0,2018,톤
오이,충청남도,87086.0,2019,톤
오이,충청남도,81359.0,2020,톤
오이,충청남도,69851.0,2021,톤
오이,충청남도,66795.0,2022,톤
옥수수,강원도,30811.0,2013,톤
옥수수,강원도,30339.0,2014,톤
옥수수,강원도,29176.0,2015,톤
옥수수,강원도,27913.0,2016,톤
옥수수,강원도,26554.0,2017,톤
옥수수,강원도,28349.0,2018,톤
옥수수,강원도,22204.0,2019,톤
옥수수,강원도,28863.0,2020,톤
옥수수,강원도,31031.0,2021,톤
옥수수,강원도,28118.0,2022,톤
일반봄무,경기도,59581.0,2014,톤
일반봄무,경기도,64555.0,2015,톤
일반봄무,경기도,30784.0,2016,톤
일반봄무,경기도,36888.0,2017,톤
일반봄무,경기도,39906.0,2018,톤
일반봄무,경기도,36441.0,2019,톤
일반봄무,경기도,29031.0,2020,톤
일반봄무,경기도,42012.0,2021,톤
일반봄무,경기도,25203.0,2022,톤
일반봄배추,경상북도,49212.0,2014,톤
일반봄배추,경상북도,33751.0,2015,톤
일반봄배추,경상북도,45348.0,2016,톤
일반봄배추,경상북도,67870.0,2017,톤
일반봄배추,경상북도,80541.0,2018,톤
일반봄배추,경상북도,58494.0,2019,톤
일반봄배추,경상북도,76624.0,2020,톤
일반봄배추,경상북도,60477.0,2021,톤
일반봄배추,경상북도,57289.0,2022,톤
잡곡,강원도,32402.0,2014,톤
잡곡,강원도,32038.0,2015,톤
잡곡,강원도,29719.0,2016,톤
잡곡,강원도,28014.0,2017,톤
잡곡,강원도,29942.0,2018,톤
잡곡,강원도,23823.0,2019,톤
잡곡,강원도,30972.0,2020,톤
잡곡,강원도,33535.0,2021,톤
잡곡,강원도,30740.0,2022,톤
조미채소,전라남도,1056435.04734,2014,톤
조미채소,전라남도,815304.23928,2015,톤
조미채소,전라남도,807274.54903,2016,톤
조미채소,전라남도,778130.7768,2017,톤
조미채소,전라남도,807413.12897,2018,톤
조미채소,전라남도,845535.0,2019,톤
조미채소,전라남도,702652.9019,2020,톤
조미채소,전라남도,864152.333,2021,톤
조미채소,전라남도,724945.7218,2022,톤
조미채소,전라남도,445434.5707,2023,톤
쪽파,전라남도,48376.0,2014,톤
쪽파,전라남도,67038.0,2015,톤
쪽파,전라남도,28487.0,2016,톤
쪽파,전라남도,18837.0,2017,톤
